hall_id,building_id,floor_no,room_no,occupancy,room_type,floor_plan,price,type,name,number of students,number of floors,average room size,contract type,is_aircooled,has_vending_machine,has_wifi_in_building,has_laundry,has_main_lounge,has_floor_lounge,has_tv_in_building,has_recreational_activities,has_communal_bathrooms,has_closet_space,has_desk,has_chair,has_microfridge,has_curtains,has_tv_in_room,has_wifi_in_room,has_carpeted_flooring,has_wardrobe,has_twin_bed_mattress,has_hardwood_flooring,has_accessibility_ramps,has_private_bathroom
AH,,Floor 2,203,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,204,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,205,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,206,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,207,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,208,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,209,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,210,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,211,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,212,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,213,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,214,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,215,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,216,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,217,1,1 bedroom,Traditional Single,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,218,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,219,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
AH,,Floor 2,220,2,1 bedroom,Traditional Double,"8,416",Traditional Residence Hall,Allen Hall,217,4,18 x 12,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
